sg_uf,cd_municipio,nm_municipio,jair_bolsonaro_1turno,jair_bolsonaro_2turno,lula_1turno,lula_2turno,queda_lula_percentual,aumento_bolsonaro_percentual,diferenca_lula_votos,diferenca_bolsonaro_votos,sigla_partido_prefeito_2020
BA,36838,LAMARÃO,529,629,5014,4997,-0.339050658157158,18.9035916824197,-17,100,PT
BA,36994,MACURURÉ,603,666,4209,4186,-0.546448087431695,10.4477611940299,-23,63,PC do B
BA,37273,MILAGRES,1517,1663,5078,5062,-0.315084679007482,9.62425840474621,-16,146,PP
BA,37397,MUCUGÊ,1981,2432,5054,4977,-1.52354570637119,22.766279656739,-77,451,DEM
BA,37460,MUQUÉM DO SÃO FRANCISCO,1415,1582,5581,5516,-1.16466583049633,11.8021201413428,-65,167,PT
BA,38431,RODELAS,893,994,4823,4774,-1.01596516690856,11.3101903695409,-49,101,PC do B
BA,38571,SANTA CRUZ DA VITÓRIA,1011,1227,2005,1896,-5.43640897755611,21.3649851632048,-109,216,PSDB
BA,38911,SAPEAÇU,2120,2881,9300,9229,-0.763440860215059,35.8962264150943,-71,761,DEM
BA,39144,SÍTIO DO MATO,1663,1894,6112,6103,-0.14725130890052,13.8905592303067,-9,231,PSD
BA,39489,UMBURANAS,2182,2347,5932,5911,-0.354012137559001,7.56186984417966,-21,165,DEM
BA,39691,WENCESLAU GUIMARÃES,2981,3350,8412,8354,-0.689491203043269,12.3783965112378,-58,369,REPUBLICANOS
BA,39772,MANSIDÃO,1021,1100,5517,5491,-0.471270618089537,7.73751224289911,-26,79,SOLIDARIEDADE
BA,39926,SÃO JOSÉ DA VITÓRIA,1266,1341,2139,2135,-0.187003272557273,5.92417061611374,-4,75,PSB
BA,39969,NOVA IBIÁ,1195,1304,2504,2487,-0.678913738019171,9.12133891213389,-17,109,PSD
CE,13269,POTIRETAMA,619,672,4029,4002,-0.670141474311248,8.56219709208401,-27,53,PP
CE,13382,BANABUIÚ,1781,1941,9706,9632,-0.762415001030292,8.9837170129141,-74,160,PDT
CE,13463,CHORÓ,1326,1492,7288,7107,-2.48353457738749,12.5188536953243,-181,166,PL
CE,13595,CARIDADE,2180,2420,10777,10675,-0.946460053818321,11.0091743119266,-102,240,PDT
CE,14060,IBARETAMA,1615,1851,7809,7718,-1.1653220642848,14.6130030959752,-91,236,PSD
ES,56006,SÃO DOMINGOS DO NORTE,2727,3036,2996,2935,-2.03604806408545,11.3311331133113,-61,309,DEM
ES,56090,APIACÁ,2145,2356,2208,2172,-1.63043478260869,9.83682983682983,-36,211,PP
ES,56138,ATÍLIO VIVÁCQUA,3488,3806,3182,3130,-1.63419233186675,9.11697247706422,-52,318,PDT
ES,56146,BREJETUBA,3689,4149,3013,2941,-2.38964487222038,12.4695039306045,-72,460,PDT
ES,56154,BAIXO GUANDU,9209,10069,7611,7577,-0.446721849954013,9.33869041155391,-34,860,SOLIDARIEDADE
ES,56189,SOORETAMA,6417,7205,7203,7118,-1.1800638622796,12.2798815645941,-85,788,REPUBLICANOS
ES,56219,BOM JESUS DO NORTE,2758,3041,2681,2677,-0.149198060425215,10.2610587382161,-4,283,PMN
ES,56227,VILA VALÉRIO,4019,4367,5276,5183,-1.76269901440486,8.65887036576263,-93,348,PP
ES,56316,CONCEIÇÃO DA BARRA,5250,5815,9740,9708,-0.328542094455853,10.7619047619048,-32,565,PTB
ES,56502,IBITIRAMA,3396,3783,1757,1728,-1.6505406943654,11.3957597173145,-29,387,PSD
ES,56618,JERÔNIMO MONTEIRO,3564,4045,3273,3227,-1.40543843568591,13.4960718294052,-46,481,PSD
ES,56693,MONTANHA,4283,4805,5844,5755,-1.52292950034223,12.1877188886295,-89,522,PSB
ES,56774,NOVA VENÉCIA,13657,14891,13420,13255,-1.22950819672131,9.03565936882185,-165,1234,PDT
ES,56790,PANCAS,5331,5835,5036,5026,-0.198570293884037,9.45413618458075,-10,504,PDT
ES,56812,PINHEIROS,4641,5180,8069,8064,-0.0619655471557845,11.6138763197587,-5,539,CIDADANIA
ES,56839,PIÚMA,7077,7657,4911,4908,-0.0610873549175328,8.19556309170553,-3,580,CIDADANIA
ES,56855,PRESIDENTE KENNEDY,5648,6043,3492,3478,-0.400916380297822,6.99362606232294,-14,395,PSD
ES,56936,SÃO GABRIEL DA PALHA,9876,10467,8018,7866,-1.8957345971564,5.98420413122722,-152,591,PSL
ES,57134,JAGUARÉ,6203,6826,9973,9803,-1.70460242655169,10.0435273254877,-170,623,CIDADANIA
ES,57150,PEDRO CANÁRIO,4671,5170,7320,7296,-0.327868852459012,10.6829372725326,-24,499,REPUBLICANOS
ES,57991,ÁGUIA BRANCA,2466,2732,3799,3781,-0.473808897078176,10.786699107867,-18,266,CIDADANIA
GO,92061,CAMPOS VERDES,907,961,1951,1927,-1.23013839056894,5.95369349503858,-24,54,MDB
GO,92126,COLINAS DO SUL,697,761,1602,1553,-3.05867665418227,9.18220946915351,-49,64,PP
GO,92266,GOUVELÂNDIA,987,1145,1720,1717,-0.174418604651161,16.0081053698075,-3,158,PDT
GO,92347,MIMOSO DE GOIÁS,1046,1138,1206,1182,-1.99004975124378,8.79541108986617,-24,92,DEM
GO,92460,PALESTINA DE GOIÁS,1450,1613,1139,1124,-1.31694468832309,11.2413793103448,-15,163,PSC
GO,92495,ARUANÃ,2205,2417,2241,2212,-1.29406514948683,9.61451247165532,-29,212,PSDB
GO,92614,BALIZA,751,813,1252,1200,-4.15335463258786,8.25565912117177,-52,62,DEM
GO,92797,CABECEIRAS,2191,2526,2665,2661,-0.150093808630392,15.2898219990872,-4,335,PDT
GO,92827,RIO QUENTE,1554,1707,1149,1138,-0.95735422106179,9.84555984555984,-11,153,SOLIDARIEDADE
GO,92860,GUARINOS,587,634,1110,1101,-0.810810810810814,8.0068143100511,-9,47,PL
GO,92940,ALTO HORIZONTE,2426,2540,1840,1825,-0.815217391304346,4.69909315746084,-15,114,PSD
GO,93068,PEROLÂNDIA,1102,1277,1040,1028,-1.15384615384615,15.8802177858439,-12,175,DEM
GO,93084,NOVA IGUAÇU DE GOIÁS,954,1049,979,977,-0.204290091930537,9.958071278826,-2,95,PP
GO,93181,MONTIVIDIU DO NORTE,1246,1286,1283,1256,-2.10444271239283,3.21027287319422,-27,40,PP
GO,93246,UIRAPURU,782,867,1116,1098,-1.61290322580645,10.8695652173913,-18,85,DEM
GO,93289,VILA BOA,805,935,1724,1721,-0.174013921113692,16.1490683229814,-3,130,DEM
GO,93408,BONÓPOLIS,989,1030,1357,1317,-2.94767870302137,4.14560161779576,-40,41,DEM
GO,93424,PORTEIRÃO,1148,1345,1312,1267,-3.42987804878049,17.1602787456446,-45,197,PSB
GO,93548,IPIRANGA DE GOIÁS,1256,1368,1013,1008,-0.493583415597232,8.9171974522293,-5,112,PSD
GO,93580,CAMPO LIMPO DE GOIÁS,2701,3013,1697,1688,-0.530347672362996,11.551277304702,-9,312,DEM
GO,94277,IVOLÂNDIA,893,1060,1043,1038,-0.47938638542665,18.7010078387458,-5,167,DEM
GO,94471,MAIRIPOTABA,1000,1151,916,885,-3.38427947598253,15.1,-31,151,PP
GO,94650,MOIPORÁ,923,1073,670,647,-3.43283582089552,16.2513542795233,-23,150,PMN
GO,94676,MONTE ALEGRE DE GOIÁS,1047,1189,2692,2659,-1.22585438335809,13.5625596943649,-33,142,DEM
GO,94919,NOVA AMÉRICA,1005,1090,863,853,-1.15874855156431,8.45771144278606,-10,85,PSL
GO,95010,NOVO BRASIL,1349,1443,1144,1126,-1.57342657342657,6.96812453669384,-18,94,PSDB
GO,95354,PILAR DE GOIÁS,1054,1159,1533,1459,-4.82713633398565,9.96204933586338,-74,105,PSDB
GO,96512,MUNDO NOVO,1650,1838,1812,1797,-0.827814569536423,11.3939393939394,-15,188,REPUBLICANOS
GO,96539,NOVA CRIXÁS,2687,2933,3505,3411,-2.68188302425108,9.15519166356531,-94,246,PATRIOTA
GO,96571,VICENTINÓPOLIS,2344,2613,2414,2406,-0.33140016570008,11.4761092150171,-8,269,PSDB
GO,96695,ARAGUAPAZ,2056,2318,2132,2083,-2.29831144465291,12.7431906614786,-49,262,DEM
GO,96717,ARENÓPOLIS,1165,1291,1265,1233,-2.5296442687747,10.8154506437768,-32,126,PODE
GO,96873,CAMPINAÇU,1153,1257,1335,1334,-0.0749063670411942,9.01994796183869,-1,104,PL
GO,96890,SANTA ISABEL,1512,1681,1173,1169,-0.341005967604435,11.1772486772487,-4,169,PSDB
MA,7030,ALCÂNTARA,2288,2455,10006,9671,-3.34799120527683,7.29895104895104,-335,167,PL
MA,7145,BACURITUBA,369,383,3257,3142,-3.53085661651826,3.7940379403794,-115,14,PSD
MA,7218,AXIXÁ,1480,1553,6314,6297,-0.269242952169779,4.93243243243244,-17,73,PDT
MA,7226,CACHOEIRA GRANDE,1050,1065,5097,4897,-3.92387679026879,1.42857142857142,-200,15,PL
MA,7285,BOM LUGAR,1828,1954,6592,6571,-0.318567961165051,6.89277899343546,-21,126,PC do B
MA,7412,BURITI,1691,1856,13785,13359,-3.09031556039173,9.75753991720876,-426,165,PL
MA,7420,CENTRAL DO MARANHÃO,468,480,4628,4604,-0.518582541054447,2.56410256410256,-24,12,REPUBLICANOS
MA,7480,CIDELÂNDIA,2161,2380,5774,5752,-0.381018358157259,10.1341971309579,-22,219,PP
MA,7552,CARUTAPERA,3361,3494,9630,9608,-0.228452751817243,3.95715560844987,-22,133,SOLIDARIEDADE
MA,7706,ITAIPAVA DO GRAJAÚ,1638,1735,5820,5768,-0.893470790378004,5.92185592185592,-52,97,PDT
MA,7714,CURURUPU,2952,3049,15506,15297,-1.34786534244808,3.28590785907859,-209,97,PSB
MA,7722,ITINGA DO MARANHÃO,5730,6221,7039,7017,-0.312544395510728,8.56893542757418,-22,491,PSDB
MA,7919,GRAÇA ARANHA,861,922,3672,3635,-1.00762527233116,7.08478513356563,-37,61,PDT
MA,8206,SANTA FILOMENA DO MARANHÃO,780,879,3657,3653,-0.109379272627841,12.6923076923077,-4,99,PP
MA,8222,SANTANA DO MARANHÃO,1039,1058,4568,4509,-1.29159369527145,1.82868142444659,-59,19,PL
MA,8265,SÃO DOMINGOS DO AZEITÃO,968,1156,3852,3797,-1.42782969885774,19.4214876033058,-55,188,REPUBLICANOS
MA,8281,SÃO FRANCISCO DO BREJÃO,2165,2355,3592,3560,-0.890868596881955,8.77598152424943,-32,190,PSL
MA,8290,MATINHA,3230,3329,11072,11061,-0.0993497109826547,3.06501547987617,-11,99,PC do B
MA,8389,SÃO PEDRO DA ÁGUA BRANCA,2267,2435,4384,4316,-1.55109489051095,7.41067490074989,-68,168,PTB
MA,8419,MORROS,2344,2429,9620,9263,-3.71101871101871,3.62627986348123,-357,85,PL
MA,8435,NINA RODRIGUES,1148,1186,5987,5832,-2.58894270920328,3.31010452961673,-155,38,PDT
MA,8451,NOVA IORQUE,495,532,2381,2377,-0.167996640067203,7.47474747474748,-4,37,PL
MA,8605,TURILÂNDIA,1934,2142,8384,8291,-1.10925572519084,10.7549120992761,-93,208,PTB
MA,8621,VILA NOVA DOS MARTÍRIOS,2058,2207,3864,3794,-1.81159420289855,7.24003887269193,-70,149,PL
MA,8630,PENALVA,2295,2345,15401,15341,-0.389585091877154,2.17864923747277,-60,50,PP
MA,8656,PERI MIRIM,1323,1340,6731,6508,-3.31302926756797,1.28495842781557,-223,17,PC do B
MA,8818,PRESIDENTE JUSCELINO,1095,1149,5957,5859,-1.64512338425382,4.93150684931507,-98,54,PL
MA,8834,PRESIDENTE VARGAS,892,931,6375,6213,-2.54117647058824,4.37219730941705,-162,39,PDT
MA,8931,SAMBAÍBA,1150,1225,2998,2809,-6.30420280186791,6.52173913043479,-189,75,PP
MA,9059,SÃO BENEDITO DO RIO PRETO,1560,1627,9726,9571,-1.59366646103228,4.2948717948718,-155,67,PSC
MA,9253,SÃO RAIMUNDO DAS MANGABEIRAS,3246,3412,7842,7837,-0.0637592450905333,5.11398644485521,-5,166,PSD
MA,9695,MIRANDA DO NORTE,2711,2856,8884,8836,-0.540297163439896,5.34857985983033,-48,145,PL
MG,40657,ARACITABA,572,669,1185,1149,-3.03797468354431,16.958041958042,-36,97,PSDB
MG,40827,SEM PEIXE,647,722,1752,1679,-4.16666666666666,11.5919629057187,-73,75,PSD
MG,41300,PATIS,610,736,2976,2958,-0.604838709677424,20.655737704918,-18,126,PTB
MG,41785,CABECEIRA GRANDE,1736,2029,1977,1950,-1.36570561456753,16.8778801843318,-27,293,AVANTE
MG,42200,IBIRACATU,710,829,2916,2913,-0.102880658436211,16.7605633802817,-3,119,PP
MG,42277,CAMPO FLORIDO,1973,2266,2647,2626,-0.793350963354744,14.8504815002534,-21,293,PSD
MG,43117,CEDRO DO ABAETÉ,390,470,432,420,-2.77777777777778,20.5128205128205,-12,80,DEM
MG,44911,ESTRELA DALVA,678,716,1275,1248,-2.11764705882352,5.6047197640118,-27,38,PSB
MG,45578,GRUPIARA,574,774,596,529,-11.241610738255,34.8432055749129,-67,200,PSDB
MG,45713,GUARDA-MOR,1957,2270,2025,2019,-0.296296296296295,15.9938681655595,-6,313,PSDB
MG,46213,INIMUTABA,1527,1837,2784,2775,-0.323275862068961,20.3012442698101,-9,310,CIDADANIA
MG,51519,SANTA FÉ DE MINAS,506,554,1744,1734,-0.573394495412849,9.48616600790513,-10,48,PTB
MG,53317,SERRA DA SAUDADE,419,441,395,378,-4.30379746835443,5.25059665871122,-17,22,PP
